Results for maximal NE \\ 
|V| =20 

 & ins & time & iter & pNE & mNE & size S & numb_back & time & iter & pNE & mNE & size S \\ 
 &24 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &25 & 0.03 & 3 & 1 & 0 &[2, 2] & 0 & & 0.03 & 3 & 1 & 0 &[2, 2]& 
 &26 & 0.02 & 3 & 1 & 0 &[2, 2] & 0 & & 0.02 & 3 & 1 & 0 &[2, 2]& 
 &27 & 0.02 & 3 & 1 & 0 &[2, 2] & 0 & & 0.02 & 3 & 1 & 0 &[2, 2]& 
 &28 & 0.03 & 4 & 1 & 0 &[3, 2] & 0 & & 0.03 & 4 & 1 & 0 &[3, 2]& 
 &29 & 0.06 & 2 & 1 & 0 &[1, 2] & 0 & & 0.06 & 2 & 1 & 0 &[1, 2]& 
 &30 & 0.10 & 4 & 1 & 0 &[3, 2] & 0 & & 0.10 & 4 & 1 & 0 &[3, 2]& 
 &31 & 0.04 & 3 & 1 & 0 &[2, 2] & 0 & & 0.04 & 3 & 1 & 0 &[2, 2]& 
 &32 & 0.14 & 3 & 1 & 0 &[2, 2] & 0 & & 0.14 & 3 & 1 & 0 &[2, 2]& 
 &33 & 0.05 & 3 & 1 & 0 &[2, 2] & 0 & & 0.05 & 3 & 1 & 0 &[2, 2]& 
 &34 & 0.12 & 3 & 1 & 0 &[2, 2] & 0 & & 0.12 & 3 & 1 & 0 &[2, 2]& 
 &35 & 0.02 & 3 & 1 & 0 &[2, 2] & 0 & & 0.02 & 3 & 1 & 0 &[2, 2]& 
 &36 & 0.02 & 3 & 1 & 0 &[2, 2] & 0 & & 0.02 & 3 & 1 & 0 &[2, 2]& 
 &37 & 0.08 & 4 & 1 & 0 &[3, 2] & 0 & & 0.08 & 4 & 1 & 0 &[3, 2]& 
 &38 & 0.14 & 4 & 1 & 0 &[3, 2] & 0 & & 0.14 & 4 & 1 & 0 &[3, 2]& 
 &39 & 0.00 & 2 & 1 & 0 &[2, 1] & 0 & & 0.00 & 2 & 1 & 0 &[2, 1]& 
 &40 & 0.02 & 5 & 1 & 0 &[3, 3] & 0 & & 0.02 & 5 & 1 & 0 &[3, 3]& 
 &41 & 0.03 & 4 & 1 & 0 &[3, 2] & 0 & & 0.03 & 4 & 1 & 0 &[3, 2]& 
 &42 & 0.03 & 3 & 1 & 0 &[2, 2] & 0 & & 0.03 & 3 & 1 & 0 &[2, 2]& 
 &43 & 0.01 & 2 & 1 & 0 &[1, 2] & 0 & & 0.01 & 2 & 1 & 0 &[1, 2]& 
 &44 & 0.07 & 3 & 1 & 0 &[2, 2] & 0 & & 0.07 & 3 & 1 & 0 &[2, 2]& 
 &45 & 0.04 & 4 & 1 & 0 &[3, 2] & 0 & & 0.04 & 4 & 1 & 0 &[3, 2]& 
 &46 & 0.02 & 2 & 1 & 0 &[1, 2] & 0 & & 0.02 & 2 & 1 & 0 &[1, 2]& 
 &47 & 0.01 & 3 & 1 & 0 &[2, 2] & 0 & & 0.01 & 3 & 1 & 0 &[2, 2]& 
 &48 & 0.00 & 1 & 1 & 0 &[1, 1] & 0 & & 0.00 & 1 & 1 & 0 &[1, 1]& 
 &49 & 0.01 & 2 & 1 & 0 &[2, 1] & 0 & & 0.01 & 2 & 1 & 0 &[2, 1]& 
 &50 & 0.06 & 3 & 1 & 0 &[2, 2] & 0 & & 0.06 & 3 & 1 & 0 &[2, 2]& 
 40 & 0.09 & 0.91 & 0.11 & 0.14 & 0.05 & 3.08 & 2.14 & 1.94 &  0.00 & 50 & 1.0 & 0.91 & 0.11 & 0.14 & 0.05 & 3.08 & 2.14 & 1.94 &  50 &  1.0 \\ 
|V| =80 

 & ins & time & iter & pNE & mNE & size S & numb_back & time & iter & pNE & mNE & size S \\ 
&1 & 1.74 & 4 & 1 & 0 &[3, 2] & 0 & & 1.71 & 4 & 1 & 0 &[3, 2]& 
 &2 & 0.46 & 3 & 1 & 0 &[2, 2] & 0 & & 0.45 & 3 & 1 & 0 &[2, 2]& 
 &3 & 1.21 & 4 & 1 & 0 &[3, 2] & 0 & & 1.18 & 4 & 1 & 0 &[3, 2]& 
 &4 & 0.12 & 2 & 1 & 0 &[2, 1] & 0 & & 0.12 & 2 & 1 & 0 &[2, 1]& 
 &5 & 0.96 & 3 & 1 & 0 &[2, 2] & 0 & & 0.95 & 3 & 1 & 0 &[2, 2]& 
 &6 & 1.89 & 4 & 1 & 0 &[3, 2] & 0 & & 1.87 & 4 & 1 & 0 &[3, 2]& 
 &7 & 1.68 & 4 & 1 & 0 &[3, 2] & 0 & & 1.66 & 4 & 1 & 0 &[3, 2]& 
